0,2002-03-02,1
1,2002-07-13,1
2,2004-08-15,1
3,2005-05-25,1
4,2005-09-15,1
5,2005-09-22,1
6,2005-10-17,1
7,2005-12-08,1
8,2005-12-29,1
9,2006-01-05,1
10,2006-01-13,1
11,2006-01-18,1
12,2006-02-01,1
13,2006-02-04,1
14,2006-02-24,2
15,2006-03-08,2
16,2006-03-12,1
17,2006-03-19,1
18,2006-04-09,1
19,2006-05-28,1
20,2006-06-04,1
21,2006-06-17,1
22,2006-07-10,1
23,2006-08-06,1
24,2006-08-21,1
25,2006-10-09,1
26,2006-11-03,1
27,2006-11-04,1
28,2006-11-05,1
29,2006-11-19,1
30,2006-12-01,1
31,2006-12-02,1
32,2007-01-03,3
33,2007-01-07,1
34,2007-01-09,2
35,2007-01-11,1
36,2007-01-15,1
37,2007-01-18,1
38,2007-01-27,1
39,2007-02-06,1
40,2007-02-17,1
41,2007-02-19,1
42,2007-02-21,1
43,2007-02-24,1
44,2007-03-09,1
45,2007-03-10,2
46,2007-03-12,2
47,2007-03-13,1
48,2007-03-21,2
49,2007-04-01,1
50,2007-04-05,1
51,2007-04-10,1
52,2007-04-14,1
53,2007-04-15,1
54,2007-04-24,1
55,2007-05-06,2
56,2007-05-13,1
57,2007-05-25,2
58,2007-05-30,1
59,2007-06-02,1
60,2007-06-07,1
61,2007-06-11,2
62,2007-06-15,1
63,2007-06-28,1
64,2007-07-01,1
65,2007-07-14,1
66,2007-07-28,3
67,2007-08-04,1
68,2007-08-13,1
69,2007-08-27,1
70,2007-09-15,1
71,2007-09-23,1
72,2007-10-01,2
73,2007-10-02,1
74,2007-10-09,1
75,2007-10-13,1
76,2007-11-06,1
77,2007-11-17,1
78,2007-12-01,2
79,2007-12-02,1
80,2007-12-04,1
81,2007-12-07,1
82,2007-12-11,1
83,2007-12-13,1
84,2007-12-18,1
85,2007-12-21,1
86,2007-12-28,2
87,2008-01-01,1
88,2008-01-07,1
89,2008-01-08,1
90,2008-01-10,1
91,2008-01-11,1
92,2008-01-12,1
93,2008-01-13,1
94,2008-01-28,1
95,2008-01-29,1
96,2008-01-31,1
97,2008-02-06,1
98,2008-02-10,1
99,2008-02-15,2
100,2008-02-16,1
101,2008-02-17,1
102,2008-02-18,1
103,2008-02-23,1
104,2008-02-27,1
105,2008-03-03,1
106,2008-03-09,1
107,2008-03-11,3
108,2008-03-15,2
109,2008-03-18,1
110,2008-03-19,2
111,2008-03-23,1
112,2008-03-25,1
113,2008-03-26,1
114,2008-03-27,1
115,2008-04-06,1
116,2008-04-14,2
117,2008-04-21,1
118,2008-04-26,1
119,2008-04-27,1
120,2008-05-03,1
121,2008-05-04,1
122,2008-05-05,2
123,2008-05-11,1
124,2008-05-14,1
125,2008-05-26,1
126,2008-06-02,1
127,2008-06-03,1
128,2008-06-04,1
129,2008-06-08,1
130,2008-06-15,1
131,2008-06-18,1
132,2008-06-19,2
133,2008-06-23,1
134,2008-06-29,2
135,2008-07-06,1
136,2008-07-15,1
137,2008-07-16,1
138,2008-07-17,1
139,2008-07-19,1
140,2008-07-24,1
141,2008-08-03,1
142,2008-08-08,1
143,2008-08-09,1
144,2008-08-13,3
145,2008-08-24,1
146,2008-08-25,1
147,2008-08-28,2
148,2008-09-01,1
149,2008-09-03,1
150,2008-09-05,2
151,2008-09-07,2
152,2008-09-10,2
153,2008-09-13,1
154,2008-09-15,1
155,2008-10-02,1
156,2008-10-06,2
157,2008-10-09,1
158,2008-10-14,1
159,2008-10-15,1
160,2008-10-16,1
161,2008-10-30,1
162,2008-11-01,1
163,2008-11-04,1
164,2008-11-07,1
165,2008-11-08,1
166,2008-11-10,2
167,2008-11-16,1
168,2008-11-19,1
169,2008-11-20,1
